,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
130111,65485,Dorota Ewa Kwany (-Lejawa),F,25.0,175.0,60.0,Poland,POL,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,
149196,74838,Antonio Salvador Marcilla,M,22.0,,,Argentina,ARG,1956 Summer,1956,Summer,Melbourne,Boxing,Boxing Men's Light-Welterweight,
71413,36369,Emanuel Nascimento Fortes,M,21.0,182.0,71.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Freestyle,
35550,18280,"Carlos Eduardo ""Carlinhos"" Carvalho",M,27.0,176.0,80.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Water Polo,Water Polo Men's Water Polo,
121176,61266,Igor Klimov,M,34.0,187.0,120.0,Kazakhstan,KAZ,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",
73128,37178,Paul Frieden,M,27.0,169.0,58.0,Luxembourg,LUX,1952 Summer,1952,Summer,Helsinki,Athletics,"Athletics Men's 5,000 metres",
123737,62514,Mark John Konopacke,M,24.0,178.0,73.0,United States,USA,1988 Winter,1988,Winter,Calgary,Ski Jumping,"Ski Jumping Men's Large Hill, Team",
174637,87723,Carl-Gran berg,M,21.0,181.0,82.0,Sweden,SWE,1960 Winter,1960,Winter,Squaw Valley,Ice Hockey,Ice Hockey Men's Ice Hockey,
195408,98103,Milan Radakovi,M,23.0,187.0,131.0,Individual Olympic Athletes,IOA,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",
157214,78938,Thomas Mermillod-Blondin,M,28.0,176.0,80.0,France,FRA,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Super G,
101596,51375,Hwang Hong-Cheol,M,22.0,181.0,78.0,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,
208700,104792,Annette Elizabeth Salmeen,F,21.0,170.0,,United States,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 200 metres Butterfly,
126767,63918,Kallinikos Kreangka,M,36.0,169.0,62.0,Greece,GRE,2008 Summer,2008,Summer,Beijing,Table Tennis,Table Tennis Men's Team,
213657,107293,Tanja Schneider,F,27.0,159.0,52.0,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Women's Super G,
85320,43268,Bettina Gruber,F,25.0,170.0,60.0,Switzerland,SUI,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Women's Team Sprint,
13237,7182,Piotr Balcerzak,M,25.0,175.0,68.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,
54980,28178,Natlie Dianov,F,23.0,170.0,60.0,Czech Republic,CZE,2012 Summer,2012,Summer,London,Modern Pentathlon,Modern Pentathlon Women's Individual,
101649,51410,Arnaud Hybois,M,26.0,180.0,74.0,France,FRA,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",
87409,44322,Magdalena Gwizdo,F,34.0,178.0,66.0,Poland,POL,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 15 kilometres,
220236,110631,Macarena Mara Simari Birkner,F,21.0,168.0,60.0,Argentina,ARG,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Women's Combined,
22973,12077,"John Percy ""Jack"" Blake",M,37.0,183.0,,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Fencing,"Fencing Men's epee, Individual",
16877,9044,Joy Wendy Beasley,F,13.0,165.0,54.0,Great Britain,GBR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 200 metres Backstroke,
181390,91164,Sayed Mahdi Panzvan Langroudi,M,19.0,165.0,65.0,Iran,IRI,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Featherweight,
236750,118704,tefan Tanadi,M,31.0,183.0,110.0,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Weightlifting,Weightlifting Men's Heavyweight II,Silver
109022,55123,Kjell Sverre Johansen,M,32.0,188.0,84.0,Norway,NOR,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Coxed Fours,
206936,103857,Frantiek Rydval,M,21.0,181.0,82.0,Czechoslovakia,TCH,1968 Winter,1968,Winter,Grenoble,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",
221222,111162,Vir Singh,M,22.0,,,India,IND,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Parallel Bars,
108147,54668,Norman Jeschke,M,22.0,179.0,,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Figure Skating,Figure Skating Mixed Pairs,
4507,2575,Lisa Alexander,F,27.0,172.0,58.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Silver
78529,39856,Witold Gesing,M,35.0,182.0,90.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Sailing,Sailing Mixed Two Person Keelboat,
16301,8757,Hannes Baumann,M,29.0,188.0,77.0,Germany,GER,2012 Summer,2012,Summer,London,Sailing,Sailing Men's Skiff,
16715,8967,Svetlana Valeryevna Bazhanova,F,19.0,175.0,70.0,Unified Team,EUN,1992 Winter,1992,Winter,Albertville,Speed Skating,"Speed Skating Women's 1,500 metres",
163581,82120,Andranne Morin,F,23.0,178.0,71.0,Canada,CAN,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Coxed Eights,
183024,91987,Thierry Pata,M,19.0,,,France,FRA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Breaststroke,
194803,97765,Qiao Ya,F,19.0,152.0,41.0,China,CHN,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Women's Team All-Around,
220808,110904,Emre imek,M,26.0,178.0,78.0,Turkey,TUR,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Giant Slalom,
251203,125797,Adam Joseph Vella,M,45.0,178.0,92.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Trap,
185218,93109,Audrey Francis Peppe (-Benner),F,18.0,,,United States,USA,1936 Winter,1936,Winter,Garmisch-Partenkirchen,Figure Skating,Figure Skating Women's Singles,
118751,60089,Kim Jong-Su,M,31.0,166.0,67.0,North Korea,PRK,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Free Pistol, 50 metres",
255992,128179,Mats Gran Erik Wallberg,M,26.0,174.0,72.0,Sweden,SWE,1976 Winter,1976,Winter,Innsbruck,Speed Skating,"Speed Skating Men's 1,500 metres",
199338,100112,Jzef Marek Reszpondek,M,21.0,168.0,53.0,Poland,POL,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Bantamweight,
187193,94081,ore Petronijevi,M,27.0,175.0,67.0,Yugoslavia,YUG,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Welterweight,
179627,90270,Olumide Oyedeji,M,31.0,208.0,109.0,Nigeria,NGR,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,
167705,84260,"Alfred ""Artem"" Nakache",M,32.0,,,France,FRA,1948 Summer,1948,Summer,London,Swimming,Swimming Men's 200 metres Breaststroke,
107427,54285,Sandra Jenkins (Rippel-),F,44.0,173.0,59.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Curling,Curling Women's Curling,Bronze
229272,115118,Francisca Steverlynck Schweizer,F,19.0,,,Argentina,ARG,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Women's Super G,
20647,10900,Catherine Bertone,F,44.0,160.0,45.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,
235382,118030,Masao Takemoto,M,32.0,160.0,56.0,Japan,JPN,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Horse Vault,Silver
246023,123190,Michaela Uhrov,F,22.0,165.0,64.0,Czech Republic,CZE,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,
6404,3594,An Myong-Hwa,F,17.0,,,North Korea,PRK,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Balance Beam,
249785,125083,Peter William Vanderkaay,M,24.0,193.0,95.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Freestyle,Bronze
161948,81308,John James Monckton,M,21.0,192.0,83.0,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 100 metres Backstroke,
2328,1298,Diego Aguirregomezcorta,M,25.0,190.0,83.0,Argentina,ARG,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Pairs,
62580,32053,Mohamed El-Khedr,M,24.0,171.0,64.0,Sudan,SUD,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 50 metres Freestyle,
163481,82062,Nikita Leonidovich Morgunov,M,33.0,210.0,125.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,
31772,16316,Jaroslava Bukvajov,F,26.0,183.0,64.0,Slovakia,SVK,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,
71288,36309,"Harry Alexander ""Alex"" Forrest",M,47.0,,,Great Britain,GBR,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's Sabre, Team",
203872,102352,John Luther Romig,M,29.0,176.0,62.0,United States,USA,1928 Summer,1928,Summer,Amsterdam,Athletics,"Athletics Men's 10,000 metres",
188509,94697,"Martin John ""Marty"" Pierce",M,21.0,173.0,68.0,United States,USA,1988 Winter,1988,Winter,Calgary,Speed Skating,Speed Skating Men's 500 metres,
98102,49657,Jos Javier Hombrados Ibez,M,24.0,197.0,98.0,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Handball,Handball Men's Handball,Bronze
146877,73723,Corinne Matrejean,F,32.0,169.0,55.0,France,FRA,2012 Summer,2012,Summer,London,Fencing,"Fencing Women's Foil, Team",
161010,80799,Jolanta Modliska,F,20.0,178.0,74.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Eights,
32810,16862,Patrick Bussler,M,29.0,185.0,84.0,Germany,GER,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Parallel Giant Slalom,
148015,74285,Viktor Viktorovich Manakov,M,19.0,186.0,78.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
150467,75491,Jim Marthinsen,M,37.0,189.0,89.0,Norway,NOR,1994 Winter,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,
1323,743,Arslanbek Aylow,M,23.0,177.0,75.0,Turkmenistan,TKM,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Middleweight,
183345,92160,Graham Ren Paul,M,37.0,185.0,82.0,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Fencing,"Fencing Men's Foil, Team",
182055,91498,Park Gyeong-Hwa,F,19.0,165.0,60.0,South Korea,KOR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Butterfly,
97350,49275,Bernd Hing,M,25.0,192.0,88.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Coxed Eights,Gold
67839,34665,Ladislav Ferebauer,M,22.0,,,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Cycling,"Cycling Men's Road Race, Individual",
87910,44571,Semoy Kee-Ann Hackett,F,27.0,173.0,61.0,Trinidad and Tobago,TTO,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,
217603,109299,Sumangala Sharma,F,17.0,165.0,53.0,India,IND,2004 Summer,2004,Summer,Athina,Archery,Archery Women's Individual,
24756,12968,"Thomas Patrick ""Tom"" Bolger",M,23.0,,,Australia,AUS,1928 Summer,1928,Summer,Amsterdam,Wrestling,"Wrestling Men's Middleweight, Freestyle",
209201,105033,Helen Nina Sampson,F,63.0,,,Great Britain,GBR,1948 Summer,1948,Summer,London,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",
106724,53966,"Venne ""Verner"" Jrvinen",M,36.0,182.0,95.0,Finland,FIN,1906 Summer,1906,Summer,Athina,Athletics,"Athletics Men's Javelin Throw, Freestyle",
240510,120521,Ari Olavi Tissari,M,28.0,180.0,78.0,Finland,FIN,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,
58556,29959,Ralf Drecoll,M,20.0,185.0,82.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's High Jump,
106657,53939,"Patrick O. ""Pat"" Jarrett",M,31.0,188.0,91.0,Jamaica,JAM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,
120113,60794,Gerg Kis,M,20.0,184.0,81.0,Hungary,HUN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 400 metres Individual Medley,
89271,45242,Charles Hamelin,M,29.0,175.0,71.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres",Gold
147853,74200,Wenceslau Malta,M,24.0,167.0,,Brazil,BRA,1956 Summer,1956,Summer,Melbourne,Modern Pentathlon,Modern Pentathlon Men's Individual,
261989,131082,Bo Hkan Wirhed,M,24.0,173.0,63.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Horse Vault,
237696,119216,Kerri Michelle Tepper,F,21.0,180.0,65.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Table Tennis,Table Tennis Women's Doubles,
153356,76966,"Andria ""Maycon"" dos Santos",F,27.0,155.0,56.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
183208,92097,Christopher Jeffrey M. Patte,M,22.0,176.0,66.0,France,FRA,2012 Summer,2012,Summer,London,Modern Pentathlon,Modern Pentathlon Men's Individual,
260423,130323,"Wolfgang Nathaniel ""Wolf"" Wigo",M,23.0,187.0,86.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Water Polo,Water Polo Men's Water Polo,
45229,23325,Tommaso Costantino,M,34.0,,,Italy,ITA,1920 Summer,1920,Summer,Antwerpen,Fencing,"Fencing Men's Foil, Individual",
187094,94037,tefan Petrescu,M,25.0,161.0,68.0,Romania,ROU,1956 Summer,1956,Summer,Melbourne,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
254998,127643,Simon Frans Vroemen,M,35.0,189.0,67.0,Netherlands,NED,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 3,000 metres Steeplechase",
246806,123573,Veljko Uskokovi,M,37.0,185.0,100.0,Montenegro,MNE,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,
145859,73197,Gnther Mader,M,27.0,177.0,77.0,Austria,AUT,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Downhill,Bronze
157466,79063,"Heinrich ""Heini"" Messner",M,28.0,176.0,75.0,Austria,AUT,1968 Winter,1968,Winter,Grenoble,Alpine Skiing,Alpine Skiing Men's Slalom,
74499,37838,Alim Shalauatovich Gadanov,M,24.0,165.0,65.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Half-Lightweight,
56252,28817,Charles Percy Dixon,M,35.0,,,Great Britain-3,GBR,1908 Summer,1908,Summer,London,Tennis,Tennis Men's Doubles,Bronze
226032,113589,Lars Srensen,M,24.0,196.0,92.0,Denmark,DEN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Backstroke,
133339,67115,Marguerite Laurenan,F,,,,Belgium,BEL,1920 Summer,1920,Summer,Antwerpen,Tennis,Tennis Women's Doubles,
82730,42020,Daniela Gtz,F,20.0,175.0,60.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
226226,113701,Igor Igorevich Spasovkhodsky,M,21.0,191.0,91.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Triple Jump,
141979,71225,Emmanuel-Marie Paul Augustin Longin Spindler,M,48.0,,,France,FRA,1928 Summer,1928,Summer,Amsterdam,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",
216254,108544,Maksym Oleksandrovych Semiankiv,M,24.0,178.0,63.0,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,
113364,57426,Iva Karagiozova-Shkodreva,F,22.0,163.0,55.0,Bulgaria,BUL,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 15 kilometres,
78632,39910,Leonid Grigoryevich Geyshtor,M,23.0,173.0,61.0,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
269187,134695,Lyudmila Ilyinichna Zharkova-Maslakova,F,28.0,175.0,59.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 200 metres,
102602,51906,Kristjan Ilves,M,17.0,177.0,61.0,Estonia,EST,2014 Winter,2014,Winter,Sochi,Nordic Combined,"Nordic Combined Men's Large Hill / 10 km, Individual",
254376,127349,Johan Hbner von Holst,M,24.0,,,Sweden,SWE,1906 Summer,1906,Summer,Athina,Shooting,"Shooting Men's Free Rifle, Any Position, 300 metres",
33335,17188,Sergio Moises Cabrera Diaz,M,19.0,169.0,62.0,Paraguay,PAR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Butterfly,
3979,2297,John Laurent Albaret,M,41.0,,,Switzerland,SUI,1920 Summer,1920,Summer,Antwerpen,Fencing,"Fencing Men's epee, Team",
241046,120733,"Volmari ""Valmari"" Toikka",M,29.0,170.0,71.0,Finland,FIN,1932 Winter,1932,Winter,Lake Placid,Cross Country Skiing,Cross Country Skiing Men's 18 kilometres,
208493,104653,Guzman Salazar Mazo,M,24.0,175.0,73.0,Cuba,CUB,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Men's Sabre, Individual",
110134,55691,Edgecomb Lee Jones,M,29.0,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Golf,Golf Men's Individual,
119337,60417,Kiminobu Kimura,M,27.0,180.0,85.0,Japan,JPN,1998 Winter,1998,Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Giant Slalom,
244919,122640,Owen Tuohy,M,,,,Ireland,IRL,1948 Summer,1948,Summer,London,Fencing,"Fencing Men's Foil, Team",
199661,100292,Boris Reek,M,19.0,,,Yugoslavia,YUG,1928 Winter,1928,Winter,Sankt Moritz,Cross Country Skiing,Cross Country Skiing Men's 18 kilometres,
263019,131611,"Beatrix ""Trixi"" Worrack",F,34.0,159.0,50.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Women's Road Race, Individual",
41563,21442,Kyrylo Chuprynin,M,25.0,197.0,130.0,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Discus Throw,
12561,6841,Shannon Deanne Bahrke,F,29.0,162.0,55.0,United States,USA,2010 Winter,2010,Winter,Vancouver,Freestyle Skiing,Freestyle Skiing Women's Moguls,Bronze
15526,8363,Miroslav Bartek,M,26.0,,,Czechoslovakia,TCH,1948 Summer,1948,Summer,London,Swimming,Swimming Men's 400 metres Freestyle,
40090,20619,Chia Kuo-Liang,M,21.0,176.0,65.0,Chinese Taipei,TPE,1972 Winter,1972,Winter,Sapporo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,
22833,12004,Peter Grant Blackburn,M,32.0,179.0,78.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Badminton,Badminton Mixed Doubles,
254567,127441,Urs von Wartburg,M,23.0,188.0,100.0,Switzerland,SUI,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Javelin Throw,
258663,129511,Andreas Wellinger,M,18.0,183.0,65.0,Germany,GER,2014 Winter,2014,Winter,Sochi,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",
12022,6548,Adrian Hermann Bachmann,M,24.0,185.0,82.0,Switzerland,SUI,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",
147901,74218,Leandro Eugenio Maly,M,20.0,197.0,92.0,Argentina,ARG,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Men's Volleyball,
199582,100245,Philippe Reynaud,M,30.0,176.0,70.0,France,FRA,1952 Summer,1952,Summer,Helsinki,Hockey,Hockey Men's Hockey,
